"","drama","length","begin","end","Speaker.figure_surface","Speaker.figure_id","Token.surface","Token.pos","Token.lemma"
"103","r0px.0",25616,1574,1721,"CHOR DER MÄDCHEN",23,"schweigt","VVFIN","schweigen"
"104","r0px.0",25616,1574,1721,"CHOR DER MÄDCHEN",23,".","$.","--"
"105","r0px.0",25616,1727,1842,"CHOR DER JÜNGLINGE",29,"","",""
"106","r0px.0",25616,1848,2009,"Rupert, Graf von Schroffenstein, aus dem Hause Rossitz.",0,"Ich","PPER","ich"
"107","r0px.0",25616,1848,2009,"Rupert, Graf von Schroffenstein, aus dem Hause Rossitz.",0,"schwöre","VVFIN","schwören"
"108","r0px.0",25616,1848,2009,"Rupert, Graf von Schroffenstein, aus dem Hause Rossitz.",0,"Rache","NN","rache"
"109","r0px.0",25616,1848,2009,"Rupert, Graf von Schroffenstein, aus dem Hause Rossitz.",0,"!","$.","--"
"110","r0px.0",25616,1848,2009,"Rupert, Graf von Schroffenstein, aus dem Hause Rossitz.",0,"Rache","NN","rache"
"111","r0px.0",25616,1848,2009,"Rupert, Graf von Schroffenstein, aus dem Hause Rossitz.",0,"!","$.","--"
"112","r0px.0",25616,1848,2009,"Rupert, Graf von Schroffenstein, aus dem Hause Rossitz.",0,"auf","APPR","auf"
"113","r0px.0",25616,1848,2009,"Rupert, Graf von Schroffenstein, aus dem Hause Rossitz.",0,"die","ART","der"
"114","r0px.0",25616,1848,2009,"Rupert, Graf von Schroffenstein, aus dem Hause Rossitz.",0,"Hostie","NN","hostie"
"115","r0px.0",25616,1848,2009,"Rupert, Graf von Schroffenstein, aus dem Hause Rossitz.",0,",","$,","--"
"116","r0px.0",25616,1848,2009,"Rupert, Graf von Schroffenstein, aus dem Hause Rossitz.",0,"Dem","ART","der"
"117","r0px.0",25616,1848,2009,"Rupert, Graf von Schroffenstein, aus dem Hause Rossitz.",0,"Haus","NN","haus"
"118","r0px.0",25616,1848,2009,"Rupert, Graf von Schroffenstein, aus dem Hause Rossitz.",0,"Sylvesters","NN","sylvester"
"119","r0px.0",25616,1848,2009,"Rupert, Graf von Schroffenstein, aus dem Hause Rossitz.",0,",","$,","--"
"120","r0px.0",25616,1848,2009,"Rupert, Graf von Schroffenstein, aus dem Hause Rossitz.",0,"Grafen","NN","grafe"
"121","r0px.0",25616,1848,2009,"Rupert, Graf von Schroffenstein, aus dem Hause Rossitz.",0,"Schroffenstein","NE","schroffenstein"
"122","r0px.0",25616,1848,2009,"Rupert, Graf von Schroffenstein, aus dem Hause Rossitz.",0,".","$.","--"
"123","r0px.0",25616,1848,2009,"Rupert, Graf von Schroffenstein, aus dem Hause Rossitz.",0,"Die","ART","der"
"124","r0px.0",25616,1848,2009,"Rupert, Graf von Schroffenstein, aus dem Hause Rossitz.",0,"Reihe","NN","reihe"
"125","r0px.0",25616,1848,2009,"Rupert, Graf von Schroffenstein, aus dem Hause Rossitz.",0,"ist","VAFIN","sein"
"126","r0px.0",25616,1848,2009,"Rupert, Graf von Schroffenstein, aus dem Hause Rossitz.",0,"an","APPR","an"
"127","r0px.0",25616,1848,2009,"Rupert, Graf von Schroffenstein, aus dem Hause Rossitz.",0,"dir","PPER","dir"
"128","r0px.0",25616,1848,2009,"Rupert, Graf von Schroffenstein, aus dem Hause Rossitz.",0,",","$,","--"
"129","r0px.0",25616,1848,2009,"Rupert, Graf von Schroffenstein, aus dem Hause Rossitz.",0,"mein","PPOSAT","mein"
"130","r0px.0",25616,1848,2009,"Rupert, Graf von Schroffenstein, aus dem Hause Rossitz.",0,"Sohn","NN","sohn"
"131","r0px.0",25616,1848,2009,"Rupert, Graf von Schroffenstein, aus dem Hause Rossitz.",0,".","$.","--"
"132","r0px.0",25616,2014,2111,"Ottokar, ihr Sohn.",2,"Mein","PPOSAT","mein"
"133","r0px.0",25616,2014,2111,"Ottokar, ihr Sohn.",2,"Herz","NN","herz"
"134","r0px.0",25616,2014,2111,"Ottokar, ihr Sohn.",2,"Trägt","VVFIN","trägt"
"135","r0px.0",25616,2014,2111,"Ottokar, ihr Sohn.",2,"wie","KOKOM","wie"
"136","r0px.0",25616,2014,2111,"Ottokar, ihr Sohn.",2,"mit","APPR","mit"
"137","r0px.0",25616,2014,2111,"Ottokar, ihr Sohn.",2,"Schwingen","NN","schwing"
