drama,length,begin,end,Speaker/figure_surface,Speaker/figure_id,Token/surface,Token/pos,Token/lemma
rksp.0,25365,1750,1862,DER PRINZ,10,wenn,KOUS,wenn
rksp.0,25365,1750,1862,DER PRINZ,10,es,PPER,es
rksp.0,25365,1750,1862,DER PRINZ,10,einer,PIS,ein
rksp.0,25365,1750,1862,DER PRINZ,10,bedarf,VVFIN,bedürfen
rksp.0,25365,1750,1862,DER PRINZ,10,.,$.,--
rksp.0,25365,1750,1862,DER PRINZ,10,–,XY,–
rksp.0,25365,1750,1862,DER PRINZ,10,Wo,PWAV,wo
rksp.0,25365,1750,1862,DER PRINZ,10,ist,VAFIN,sein
rksp.0,25365,1750,1862,DER PRINZ,10,sie,PPER,sie
rksp.0,25365,1750,1862,DER PRINZ,10,?,$.,--
rksp.0,25365,1750,1862,DER PRINZ,10,In,APPR,in
rksp.0,25365,1750,1862,DER PRINZ,10,der,ART,der
rksp.0,25365,1750,1862,DER PRINZ,10,Stadt,NN,stadt
rksp.0,25365,1750,1862,DER PRINZ,10,?,$.,--
rksp.0,25365,1750,1862,DER PRINZ,10,oder,KON,oder
rksp.0,25365,1750,1862,DER PRINZ,10,auf,APPR,auf
rksp.0,25365,1750,1862,DER PRINZ,10,ihrer,PPOSAT,ihr
rksp.0,25365,1750,1862,DER PRINZ,10,Villa,NN,villa
rksp.0,25365,1750,1862,DER PRINZ,10,?,$.,--
rksp.0,25365,1868,1925,DER KAMMERDIENER,14,Sie,PPER,sie
rksp.0,25365,1868,1925,DER KAMMERDIENER,14,ist,VAFIN,sein
rksp.0,25365,1868,1925,DER KAMMERDIENER,14,gestern,ADV,gestern
rksp.0,25365,1868,1925,DER KAMMERDIENER,14,in,APPR,in
rksp.0,25365,1868,1925,DER KAMMERDIENER,14,die,ART,der
rksp.0,25365,1868,1925,DER KAMMERDIENER,14,Stadt,NN,stadt
rksp.0,25365,1868,1925,DER KAMMERDIENER,14,gekommen,VVPP,kommen
rksp.0,25365,1868,1925,DER KAMMERDIENER,14,.,$.,--
rksp.0,25365,1930,2305,DER PRINZ,10,Desto,NE,desto
rksp.0,25365,1930,2305,DER PRINZ,10,schlimmer,ADJD,schlimm
rksp.0,25365,1930,2305,DER PRINZ,10,–,XY,–
rksp.0,25365,1930,2305,DER PRINZ,10,besser,ADJD,gut
rksp.0,25365,1930,2305,DER PRINZ,10,;,$.,--
rksp.0,25365,1930,2305,DER PRINZ,10,wollt,VVFIN,wollen
rksp.0,25365,1930,2305,DER PRINZ,10,',$[,--
rksp.0,25365,1930,2305,DER PRINZ,10,ich,PPER,ich
rksp.0,25365,1930,2305,DER PRINZ,10,sagen,VVINF,sagen
rksp.0,25365,1930,2305,DER PRINZ,10,.,$.,--
rksp.0,25365,1930,2305,DER PRINZ,10,So,ADV,so
rksp.0,25365,1930,2305,DER PRINZ,10,braucht,VVFIN,brauchen
rksp.0,25365,1930,2305,DER PRINZ,10,der,ART,der
rksp.0,25365,1930,2305,DER PRINZ,10,Läufer,NN,läufer
rksp.0,25365,1930,2305,DER PRINZ,10,um,APPR,um
rksp.0,25365,1930,2305,DER PRINZ,10,so,ADV,so
rksp.0,25365,1930,2305,DER PRINZ,10,weniger,ADV,weniger
rksp.0,25365,1930,2305,DER PRINZ,10,zu,PTKZU,zu
rksp.0,25365,1930,2305,DER PRINZ,10,warten,VVINF,warten
rksp.0,25365,1930,2305,DER PRINZ,10,.,$.,--
rksp.0,25365,1930,2305,DER PRINZ,10,Der,ART,der
rksp.0,25365,1930,2305,DER PRINZ,10,Kammerdiener,NN,kammerdiener
rksp.0,25365,1930,2305,DER PRINZ,10,geht,VVFIN,gehen
rksp.0,25365,1930,2305,DER PRINZ,10,ab,PTKVZ,ab
rksp.0,25365,1930,2305,DER PRINZ,10,.,$.,--
rksp.0,25365,1930,2305,DER PRINZ,10,Meine,PPOSAT,mein
rksp.0,25365,1930,2305,DER PRINZ,10,teure,ADJA,teuer
rksp.0,25365,1930,2305,DER PRINZ,10,Gräfin,NN,gräfin
rksp.0,25365,1930,2305,DER PRINZ,10,"!",$.,--
rksp.0,25365,1930,2305,DER PRINZ,10,Bitter,NE,bitter
rksp.0,25365,1930,2305,DER PRINZ,10,",","$,",--
rksp.0,25365,1930,2305,DER PRINZ,10,indem,KOUS,indem
rksp.0,25365,1930,2305,DER PRINZ,10,er,PPER,er
rksp.0,25365,1930,2305,DER PRINZ,10,den,ART,der
rksp.0,25365,1930,2305,DER PRINZ,10,Brief,NN,brief
rksp.0,25365,1930,2305,DER PRINZ,10,in,APPR,in
rksp.0,25365,1930,2305,DER PRINZ,10,die,ART,der
rksp.0,25365,1930,2305,DER PRINZ,10,Hand,NN,hand
rksp.0,25365,1930,2305,DER PRINZ,10,nimmt,VVFIN,nehmen
rksp.0,25365,1930,2305,DER PRINZ,10,.,$.,--
rksp.0,25365,1930,2305,DER PRINZ,10,So,ADV,so
rksp.0,25365,1930,2305,DER PRINZ,10,gut,ADJD,gut
rksp.0,25365,1930,2305,DER PRINZ,10,",","$,",--
rksp.0,25365,1930,2305,DER PRINZ,10,als,KOUS,als
rksp.0,25365,1930,2305,DER PRINZ,10,gelesen,VVPP,lesen
rksp.0,25365,1930,2305,DER PRINZ,10,"!",$.,--
rksp.0,25365,1930,2305,DER PRINZ,10,Und,KON,und
rksp.0,25365,1930,2305,DER PRINZ,10,ihn,PPER,ihn
rksp.0,25365,1930,2305,DER PRINZ,10,wieder,ADV,wieder
rksp.0,25365,1930,2305,DER PRINZ,10,wegwirft,VVFIN,wegwerfen
rksp.0,25365,1930,2305,DER PRINZ,10,.,$.,--
rksp.0,25365,1930,2305,DER PRINZ,10,–,XY,–
rksp.0,25365,1930,2305,DER PRINZ,10,Nun,ADV,nun
rksp.0,25365,1930,2305,DER PRINZ,10,ja,ADV,ja
rksp.0,25365,1930,2305,DER PRINZ,10,;,$.,--
rksp.0,25365,1930,2305,DER PRINZ,10,ich,PPER,ich
rksp.0,25365,1930,2305,DER PRINZ,10,habe,VAFIN,haben
rksp.0,25365,1930,2305,DER PRINZ,10,sie,PPER,sie
rksp.0,25365,1930,2305,DER PRINZ,10,zu,APPR,zu
rksp.0,25365,1930,2305,DER PRINZ,10,lieben,ADJA,lieben
rksp.0,25365,1930,2305,DER PRINZ,10,geglaubt,VVPP,glauben
rksp.0,25365,1930,2305,DER PRINZ,10,"!",$.,--
rksp.0,25365,1930,2305,DER PRINZ,10,Was,PWS,was
rksp.0,25365,1930,2305,DER PRINZ,10,glaubt,VVFIN,glauben
rksp.0,25365,1930,2305,DER PRINZ,10,man,PIS,man
rksp.0,25365,1930,2305,DER PRINZ,10,nicht,PTKNEG,nicht
rksp.0,25365,1930,2305,DER PRINZ,10,alles,PIS,alle
rksp.0,25365,1930,2305,DER PRINZ,10,?,$.,--
rksp.0,25365,1930,2305,DER PRINZ,10,Kann,VMFIN,können
rksp.0,25365,1930,2305,DER PRINZ,10,sein,PPOSAT,sein
rksp.0,25365,1930,2305,DER PRINZ,10,",","$,",--
rksp.0,25365,1930,2305,DER PRINZ,10,ich,PPER,ich
rksp.0,25365,1930,2305,DER PRINZ,10,habe,VAFIN,haben
rksp.0,25365,1930,2305,DER PRINZ,10,sie,PPER,sie
rksp.0,25365,1930,2305,DER PRINZ,10,auch,ADV,auch
rksp.0,25365,1930,2305,DER PRINZ,10,wirklich,ADJD,wirklich
rksp.0,25365,1930,2305,DER PRINZ,10,geliebt,VVPP,lieben
rksp.0,25365,1930,2305,DER PRINZ,10,.,$.,--
rksp.0,25365,1930,2305,DER PRINZ,10,Aber,KON,aber
rksp.0,25365,1930,2305,DER PRINZ,10,–,VVFIN,–
rksp.0,25365,1930,2305,DER PRINZ,10,ich,PPER,ich
rksp.0,25365,1930,2305,DER PRINZ,10,habe,VAFIN,haben
rksp.0,25365,1930,2305,DER PRINZ,10,"!",$.,--
rksp.0,25365,2310,2397,DER KAMMERDIENER,14,Der,ART,der
rksp.0,25365,2310,2397,DER KAMMERDIENER,14,Maler,NN,maler
rksp.0,25365,2310,2397,DER KAMMERDIENER,14,Conti,NE,conti
rksp.0,25365,2310,2397,DER KAMMERDIENER,14,will,VMFIN,wollen
rksp.0,25365,2310,2397,DER KAMMERDIENER,14,die,ART,der
rksp.0,25365,2310,2397,DER KAMMERDIENER,14,Gnade,NN,gnade
rksp.0,25365,2310,2397,DER KAMMERDIENER,14,haben,VAFIN,haben
rksp.0,25365,2310,2397,DER KAMMERDIENER,14,–,XY,–
rksp.0,25365,2310,2397,DER KAMMERDIENER,14,–,XY,–
rksp.0,25365,2402,2521,DER PRINZ,10,Conti,FM,conti
rksp.0,25365,2402,2521,DER PRINZ,10,?,$.,--
rksp.0,25365,2402,2521,DER PRINZ,10,Recht,NN,recht
rksp.0,25365,2402,2521,DER PRINZ,10,wohl,ADV,wohl
rksp.0,25365,2402,2521,DER PRINZ,10,;,$.,--
rksp.0,25365,2402,2521,DER PRINZ,10,laßt,VVFIN,lassen
rksp.0,25365,2402,2521,DER PRINZ,10,ihn,PPER,ihn
rksp.0,25365,2402,2521,DER PRINZ,10,herein,PTKVZ,herein
rksp.0,25365,2402,2521,DER PRINZ,10,kommen,VVFIN,kommen
rksp.0,25365,2402,2521,DER PRINZ,10,.,$.,--
rksp.0,25365,2402,2521,DER PRINZ,10,–,XY,–
rksp.0,25365,2402,2521,DER PRINZ,10,Das,PDS,der
rksp.0,25365,2402,2521,DER PRINZ,10,wird,VAFIN,werden
rksp.0,25365,2402,2521,DER PRINZ,10,mir,PPER,sich
rksp.0,25365,2402,2521,DER PRINZ,10,andere,ADJA,anderer
rksp.0,25365,2402,2521,DER PRINZ,10,Gedanken,NN,gedanke
rksp.0,25365,2402,2521,DER PRINZ,10,in,APPR,in
rksp.0,25365,2402,2521,DER PRINZ,10,den,ART,der
rksp.0,25365,2402,2521,DER PRINZ,10,Kopf,NN,kopf
rksp.0,25365,2402,2521,DER PRINZ,10,bringen,VVINF,bringen
rksp.0,25365,2402,2521,DER PRINZ,10,.,$.,--
rksp.0,25365,2402,2521,DER PRINZ,10,–,XY,–
rksp.0,25365,2402,2521,DER PRINZ,10,Steht,NN,stehen
rksp.0,25365,2402,2521,DER PRINZ,10,auf,PTKVZ,auf
rksp.0,25365,2402,2521,DER PRINZ,10,.,$.,--
rksp.0,25365,2594,2662,DER PRINZ,10,Guten,ADJA,gute
rksp.0,25365,2594,2662,DER PRINZ,10,Morgen,NN,morgen
rksp.0,25365,2594,2662,DER PRINZ,10,",","$,",--
rksp.0,25365,2594,2662,DER PRINZ,10,Conti,NE,conti
rksp.0,25365,2594,2662,DER PRINZ,10,.,$.,--
rksp.0,25365,2594,2662,DER PRINZ,10,Wie,PWAV,wie
rksp.0,25365,2594,2662,DER PRINZ,10,leben,VVFIN,leben
rksp.0,25365,2594,2662,DER PRINZ,10,Sie,PPER,sie
rksp.0,25365,2594,2662,DER PRINZ,10,?,$.,--
rksp.0,25365,2594,2662,DER PRINZ,10,Was,PWS,was
rksp.0,25365,2594,2662,DER PRINZ,10,macht,VVFIN,machen
